,city_name,temperature,humidity,wind_speed,cloudiness,latitude,longtitude
320,Tārāpur,299.11,82,2.08,65,19.85,72.7
321,Plyussa,275.13,85,4.63,8,58.4308,29.3654
322,Pionerskiy,280.72,75,5.0,75,54.9508,20.2275
323,Chegdomyn,269.83,95,0.78,100,51.1167,133.0167
324,Novosheshminsk,285.74,79,6.84,98,55.0651,51.2338
325,Phan Thiet,297.15,87,1.81,100,10.9333,108.1
326,Iskateley,270.95,96,1.01,18,67.6803,53.1512
327,Gushikawa,297.17,94,3.6,1,26.3544,127.8686
328,Turukhansk,264.94,97,6.22,100,65.8167,87.9833
329,Boguchany,271.89,92,5.92,65,58.3814,97.4531
330,Trapani,286.19,93,1.0,0,37.8333,12.6667
331,Wattegama,296.45,81,1.29,98,6.7989,81.4808
332,Kozel’sk,275.15,93,3.0,95,54.0375,35.7716
333,Chernyshevskiy,265.17,96,4.31,92,63.0128,112.4714
334,Yasnyy,280.14,59,7.92,75,51.0333,59.8742
335,Sakakah,296.15,15,3.1,0,29.9697,40.2064
336,Ranong,298.67,86,3.35,98,9.9658,98.6348
337,Udimskiy,274.93,99,2.13,100,61.1417,45.9144
338,Ust’-Koksa,268.94,91,1.7,64,50.2696,85.6108
339,Sayyan,283.48,43,1.42,0,15.1718,44.3244
340,Nivala,273.15,96,0.89,98,63.9167,24.9667
341,Yining,285.8,91,0.66,80,29.0361,114.5636
342,Tezu,295.56,68,1.56,11,27.9167,96.1667
343,Kantang,299.82,92,1.25,70,7.4054,99.5156
344,Hūn,295.01,65,7.52,100,29.1268,15.9477
345,Okha,274.15,90,7.86,76,53.5739,142.9478
346,Saravan,281.31,49,0.77,0,39.7196,45.6483
347,Joura,298.29,28,2.43,0,26.3411,77.8115
348,Pleshanovo,284.84,43,6.91,100,52.8333,53.4833
349,Sirte,295.12,67,3.53,100,31.2089,16.5887
350,Cao Bang,291.46,74,1.33,100,22.6667,106.25
351,Zhangye,278.72,52,3.12,85,38.9342,100.4517
352,Republic of India,296.23,90,2.04,27,20.0,77.0
353,Suceviţa,279.23,93,3.6,75,47.7833,25.7167
354,Tādpatri,297.8,85,0.81,100,14.9167,78.0167
355,Zhoucheng,284.08,45,1.78,54,35.9122,116.3117
356,Wum,291.09,94,0.96,86,6.3833,10.0667
357,Hakkari,279.62,52,0.36,0,37.5833,44.1667
358,Tartouss,291.72,77,2.1,11,34.889,35.8866
359,Kamenka,280.93,80,3.77,99,51.3223,42.7678
360,Neyvo-Shaytanskiy,275.76,83,5.28,100,57.7286,61.2496
361,Kiruna,270.15,86,6.7,77,67.8557,20.2251
362,Phayakkhaphum Phisai,294.15,100,2.6,90,15.5163,103.1937
363,Kara-Tyube,285.52,94,0.82,25,44.6336,45.4369
364,Karakol,278.26,54,1.98,0,42.4907,78.3936
365,Changwat Nong Khai,295.37,87,2.55,100,17.9167,103.0833
366,Soloneshnoye,272.56,91,2.48,72,51.6544,84.3197
367,Verkhnyaya Inta,267.8,96,2.2,77,65.9811,60.3094
368,Pathein,296.34,95,3.3,97,16.7833,94.7333
369,Leh,274.02,55,0.56,0,34.1667,77.5833
370,Teya,270.37,92,6.82,100,60.3778,92.6267
371,Westerland,282.15,70,4.1,74,54.9079,8.3033
372,Maloyaroslavets,275.2,93,3.0,96,55.0146,36.4719
373,Umarkot,303.13,63,2.33,44,25.3616,69.7362
374,Vågåmo,271.51,91,3.28,55,61.8751,9.0967
375,Arraial do Cabo,295.12,81,10.26,86,-22.9661,-42.0278
376,Rikitea,296.97,80,7.69,100,-23.1203,-134.9692
377,Atuona,298.77,75,8.23,3,-9.8,-139.0333
378,Caravelas,295.9,80,3.94,72,-17.7125,-39.2481
379,Serro,290.76,89,2.59,100,-18.6047,-43.3794
380,Cape Town,288.36,87,2.1,81,-33.9258,18.4232
381,Mataura,282.59,94,3.13,100,-46.1927,168.8643
382,Viedma,289.64,38,5.35,0,-40.8135,-62.9967
383,Ushuaia,277.15,86,0.24,40,-54.8,-68.3
384,Carahue,287.15,58,5.1,20,-38.7,-73.1667
385,Mar del Plata,292.15,88,1.5,75,-38.0023,-57.5575
386,São João Batista,294.63,94,4.1,40,-27.2761,-48.8494
387,Puerto Ayora,294.26,94,3.58,83,-0.7393,-90.3518
388,Ancud,282.85,70,5.7,75,-41.8697,-73.8203
389,Hermanus,287.59,87,3.38,100,-34.4187,19.2345
390,Cassilândia,300.71,47,2.45,70,-19.1133,-51.7342
391,Chuy,291.82,78,3.24,0,-33.6971,-53.4616
392,Vaini,296.15,78,5.7,75,-21.2,-175.2
